cod_ibge6,municipio,competencia,mes_internacao,capitulo,subgrupo,faixa_etaria,internacoes,obitos,dias_permanencia,valor_total_rs
351500,Embu das Artes,2025-07,2025-07,respiratorio (J00-J99),outras respiratorias,0-4,12,0,32,11092.89
351500,Embu das Artes,2025-07,2025-07,respiratorio (J00-J99),outras respiratorias,5-64,19,1,32,27479.48
351500,Embu das Artes,2025-07,2025-07,respiratorio (J00-J99),outras respiratorias,65+,3,1,8,4192.7
351500,Embu das Artes,2025-07,2025-07,respiratorio (J00-J99),pneumonia (J12-J18),0-4,12,0,53,8454.41
351500,Embu das Artes,2025-07,2025-07,respiratorio (J00-J99),pneumonia (J12-J18),5-64,4,0,14,3589.12
351500,Embu das Artes,2025-07,2025-07,respiratorio (J00-J99),pneumonia (J12-J18),65+,4,2,30,3360.23
351510,Embu-Guaçu,2025-07,2025-04,respiratorio (J00-J99),pneumonia (J12-J18),65+,1,0,7,582.42
351510,Embu-Guaçu,2025-07,2025-05,circulatorio (I00-I99),circulatorio (I00-I99),5-64,1,0,5,8828.28
351510,Embu-Guaçu,2025-07,2025-05,circulatorio (I00-I99),circulatorio (I00-I99),65+,1,0,38,25909.64
351510,Embu-Guaçu,2025-07,2025-05,respiratorio (J00-J99),outras respiratorias,5-64,2,0,12,16672.65
